order_id,order_date,customer_id,customer_type,region,sales_channel,product,category,quantity,unit_price,unit_cost,discount_pct,shipping_cost,payment_method,status
10001,2026-06-12,C1131,B2C,SK-West,Partner,Laptop Air 13,Electronics,5.0,22886.0,17017.0,0.0,138.0,Invoice,Completed
10002,2026-06-26,C1163,B2B,CZ-East,Online,Laptop Air 13,Electronics,4.0,23056.0,16910.0,0.05,478.0,Card,Completed
10003,2026-01-14,C1248,,SK-East,Partner,Paper Shredder,Office,7.0,3190.0,1886.0,0.0,491.0,Invoice,Returned
10004,2026-03-18,C1109,B2C,CZ-East,Online,Monitor 27,Electronics,4.0,8073.0,5286.0,0.1,620.0,Invoice,Completed
10005,2026-04-09,C1056,B2C,CZ-East,Online,Laptop Air 13,Electronics,6.0,21750.0,15849.0,0.0,411.0,Invoice,Completed
10006,2026-01-21,C1071,B2C,SK-West,Online,Desk 180,Furniture,3.0,12385.0,8983.0,0.0,351.0,Invoice,Completed
10007,2026-01-02,C1236,B2C,CZ-East,Online,Printer,Office,6.0,7161.0,,0.1,254.0,Card,Completed
10008,2026-04-03,C1169,B2C,CZ-West,Sales Rep,Laptop Air 13,Electronics,5.0,23172.0,15296.0,0.1,343.0,Invoice,Completed
10009,2026-01-07,C1131,B2C,CZ-West,Partner,Desk 140,Furniture,3.0,9358.0,6053.0,0.15,161.0,Card,Cancelled
10010,2026-04-02,C1125,B2C,CZ-Central,Online,Keyboard,Accessories,5.0,1851.0,986.0,0.3,277.0,Bank Transfer,Completed
10011,2026-01-19,C1216,B2B,SK-West,Sales Rep,Laptop Air 13,Electronics,6.0,22540.0,16092.0,0.05,387.0,Bank Transfer,Completed
10012,2026-02-20,C1101,B2C,CZ-Central,Partner,Mouse,Accessories,3.0,1095.0,485.0,0.0,135.0,Bank Transfer,Returned
10013,2026-02-25,C1290,,CZ-West,Sales Rep,Docking Station,Accessories,6.0,4110.0,2780.0,0.0,291.0,Invoice,Completed
10014,2026-05-28,C1005,B2C,CZ-East,Partner,Docking Station,Accessories,2.0,4309.0,2726.0,0.0,118.0,Bank Transfer,Completed
10015,2026-05-12,C1175,B2B,CZ-East,Online,Keyboard,Accessories,1.0,1873.0,940.0,0.0,351.0,Card,Completed
10016,2026-05-23,C1134,B2B,SK-West,Sales Rep,Monitor 27,Electronics,1.0,7337.0,5067.0,0.15,265.0,Card,Completed
10017,2026-07-21,C1144,B2B,SK-East,Online,Monitor 27,Electronics,3.0,8049.0,5374.0,0.05,728.0,Bank Transfer,Completed
10018,2026-06-19,C1109,B2C,CZ-West,Partner,Office Chair,Furniture,2.0,5898.0,3835.0,0.0,300.0,Bank Transfer,Completed
10019,2026-04-27,C1032,B2B,CZ-West,Sales Rep,Keyboard,Accessories,3.0,1845.0,978.0,0.1,338.0,Invoice,Cancelled
10020,2026-02-19,C1288,B2B,CZ-Central,Partner,Monitor 34,Electronics,1.0,13295.0,10634.0,0.15,437.0,Bank Transfer,Completed
10021,2026-04-19,C1076,B2C,SK-East,Online,Desk 140,Furniture,7.0,8550.0,6209.0,0.0,148.0,Invoice,Completed
10022,2026-06-27,C1100,B2C,CZ-East,Sales Rep,Bookshelf,Furniture,7.0,5560.0,3540.0,0.0,351.0,Invoice,Completed
10023,2026-06-06,C1078,B2C,CZ-West,Partner,Bookshelf,Furniture,3.0,5189.0,3308.0,0.0,561.0,Card,Completed
10024,2026-06-01,C1149,B2C,CZ-East,Online,Executive Chair,Furniture,7.0,12903.0,7328.0,0.1,265.0,Invoice,Completed
10025,2026-02-18,C1039,B2C,CZ-East,Sales Rep,Monitor 27,Electronics,2.0,8205.0,4774.0,0.05,202.0,Card,Cancelled
10026,2026-01-06,C1024,B2B,SK-East,Online,Printer,Office,6.0,6351.0,4706.0,0.0,388.0,Card,Completed
10027,2026-05-20,C1286,B2B,SK-West,Partner,Office Chair,Furniture,3.0,6143.0,3791.0,0.0,354.0,Card,Returned
10028,2026-06-07,C1129,B2B,SK-West,Partner,Monitor 27,Electronics,3.0,9093.0,5590.0,0.2,280.0,Invoice,Completed
10029,2026-01-23,C1248,B2C,SK-East,Partner,Desk 140,Furniture,3.0,8551.0,5576.0,0.35,171.0,Bank Transfer,Completed
10030,2026-01-25,C1159,B2B,CZ-Central,Online,Docking Station,Accessories,3.0,4483.0,2690.0,0.15,115.0,Invoice,Returned
10031,2026-06-21,C1031,B2B,CZ-Central,Partner,Printer,Office,,6415.0,4631.0,0.0,,Card,Cancelled
10032,2026-05-06,C1212,B2B,CZ-West,Online,Paper Shredder,Office,2.0,3128.0,1890.0,0.0,287.0,Invoice,Completed
10033,2026-05-05,C1204,B2C,SK-East,Sales Rep,Docking Station,Accessories,4.0,4239.0,2738.0,0.05,320.0,Card,Completed
10034,2026-07-06,C1002,B2B,SK-East,Sales Rep,Monitor 27,Electronics,2.0,8892.0,5527.0,0.0,213.0,Invoice,Completed
10035,2026-06-25,C1015,B2B,SK-East,Online,Laptop Air 13,Electronics,1.0,22531.0,15256.0,0.15,384.0,Invoice,Completed
10036,2026-05-12,C1290,B2C,SK-East,Sales Rep,Bookshelf,Furniture,5.0,5502.0,3486.0,0.05,341.0,Invoice,Completed
10037,2026-05-15,C1079,B2B,CZ-Central,Sales Rep,Desk 180,Furniture,,12612.0,8275.0,0.0,562.0,Bank Transfer,Returned
10038,2026-04-02,C1256,B2B,SK-West,Online,Keyboard,Accessories,3.0,1780.0,967.0,,402.0,Bank Transfer,Completed
10039,2026-06-28,C1195,B2B,SK-West,Online,Webcam,Accessories,4.0,2519.0,1285.0,0.05,222.0,Card,Completed
10040,2026-04-16,C1174,B2B,CZ-East,Partner,Desk 180,Furniture,7.0,12954.0,9317.0,0.0,575.0,Invoice,Completed
