order_id,order_date,customer_id,customer_type,region,sales_channel,product,category,quantity,unit_price,unit_cost,discount_pct,shipping_cost,payment_method,status,gross_sales,discount_amount,net_sales,total_cost,profit
10001,2026-06-12,C1131,B2C,SK-West,Partner,Laptop Air 13,Electronics,5.0,22886.0,17017.0,0.0,138.0,Invoice,Completed,114430.0,0.0,114430.0,85085.0,29207.0
10002,2026-06-26,C1163,B2B,CZ-East,Online,Laptop Air 13,Electronics,4.0,23056.0,16910.0,0.05,478.0,Card,Completed,92224.0,4611.2,87612.8,67640.0,19494.800000000003
10003,2026-01-14,C1248,Unknown,SK-East,Partner,Paper Shredder,Office,7.0,3190.0,1886.0,0.0,491.0,Invoice,Returned,22330.0,0.0,22330.0,13202.0,8637.0
10004,2026-03-18,C1109,B2C,CZ-East,Online,Monitor 27,Electronics,4.0,8073.0,5286.0,0.1,620.0,Invoice,Completed,32292.0,3229.2000000000003,29062.8,21144.0,7298.799999999999
10005,2026-04-09,C1056,B2C,CZ-East,Online,Laptop Air 13,Electronics,6.0,21750.0,15849.0,0.0,411.0,Invoice,Completed,130500.0,0.0,130500.0,95094.0,34995.0
10006,2026-01-21,C1071,B2C,SK-West,Online,Desk 180,Furniture,3.0,12385.0,8983.0,0.0,351.0,Invoice,Completed,37155.0,0.0,37155.0,26949.0,9855.0
10007,2026-01-02,C1236,B2C,CZ-East,Online,Printer,Office,6.0,7161.0,4691.0,0.1,254.0,Card,Completed,42966.0,4296.6,38669.4,28146.0,10269.400000000001
10008,2026-04-03,C1169,B2C,CZ-West,Sales Rep,Laptop Air 13,Electronics,5.0,23172.0,15296.0,0.1,343.0,Invoice,Completed,115860.0,11586.0,104274.0,76480.0,27451.0
10009,2026-01-07,C1131,B2C,CZ-West,Partner,Desk 140,Furniture,3.0,9358.0,6053.0,0.15,161.0,Card,Cancelled,28074.0,4211.099999999999,23862.9,18159.0,5542.9000000000015
10010,2026-04-02,C1125,B2C,CZ-Central,Online,Keyboard,Accessories,5.0,1851.0,986.0,0.3,277.0,Bank Transfer,Completed,9255.0,2776.5,6478.5,4930.0,1271.5
10011,2026-01-19,C1216,B2B,SK-West,Sales Rep,Laptop Air 13,Electronics,6.0,22540.0,16092.0,0.05,387.0,Bank Transfer,Completed,135240.0,6762.0,128478.0,96552.0,31539.0
10012,2026-02-20,C1101,B2C,CZ-Central,Partner,Mouse,Accessories,3.0,1095.0,485.0,0.0,135.0,Bank Transfer,Returned,3285.0,0.0,3285.0,1455.0,1695.0
